Error Type,Count
error_magnetics_drift,1131577
error_hxr_saturation_counts,93090
error_hxr_saturation_counts_ex,93086
error_hxr_baseline_shift,92686
error_magnetics_error_probe,31494
error_ha_saturation,27923
error_VisibleBrems_Saturation,19901
error_hcn_hop,15386
error_sxr_spectra_saturation,9506
error_axuv_Detector_channel_damage,8342
error_magnetics_error_FOCS,353
error_TS_empty_amplitude,208
error_axuv_saturation,85
test,1
34,1
