name,shot_range,shots,channels,errors
DataDiagnosticPlatform_[9401_9500],9401-9500,100,324896,18174
DataDiagnosticPlatform_[9501_9600],9501-9600,100,327425,17846
DataDiagnosticPlatform_[9601_9700],9601-9700,100,328110,553
DataDiagnosticPlatform_[9701_9800],9701-9800,100,333367,16440
DataDiagnosticPlatform_[9801_9900],9801-9900,100,333968,18101
DataDiagnosticPlatform_[9901_10000],9901-10000,100,334100,17821
DataDiagnosticPlatform_[10001_10100],10001-10100,100,334101,18442
DataDiagnosticPlatform_[10101_10200],10101-10200,100,334100,18335
DataDiagnosticPlatform_[10201_10300],10201-10300,100,334104,16534
DataDiagnosticPlatform_[10301_10400],10301-10400,100,334100,17503
DataDiagnosticPlatform_[10401_10500],10401-10500,100,320760,8887
DataDiagnosticPlatform_[10501_10600],10501-10600,100,334100,18742
DataDiagnosticPlatform_[10601_10700],10601-10700,100,334100,18176
DataDiagnosticPlatform_[10701_10800],10701-10800,100,334100,20818
DataDiagnosticPlatform_[10801_10900],10801-10900,100,328837,2014
DataDiagnosticPlatform_[10901_11000],10901-11000,100,334100,16320
DataDiagnosticPlatform_[11001_11100],11001-11100,100,329646,9921
DataDiagnosticPlatform_[11101_11200],11101-11200,100,334700,17469
DataDiagnosticPlatform_[11201_11300],11201-11300,100,334700,20613
DataDiagnosticPlatform_[11301_11400],11301-11400,100,334700,20181
DataDiagnosticPlatform_[11401_11500],11401-11500,100,334760,15257
DataDiagnosticPlatform_[11501_11600],11501-11600,100,335092,17686
DataDiagnosticPlatform_[11601_11700],11601-11700,100,335710,17224
DataDiagnosticPlatform_[11701_11800],11701-11800,100,335800,444
DataDiagnosticPlatform_[11801_11830],11801-11830,30,100756,5344
