Channel Type,Count
CS_DIRZIP,11377
CS_DR,11377
CS_DU,11377
CS_DURZIP,11377
CS_DZ,11377
CS_EXP,11377
CS_FLAG,11377
CS_FULLN,11377
CS_FULLP,11377
CS_IN,11377
CS_IP,11377
CS_IREF,11377
CS_NBLOCK,11377
CS_NOUT,11377
CS_PARTN,11377
CS_PARTP,11377
CS_PBLOCK,11377
CS_POUT,11377
CS_SUMDU,11377
CS_UOUT,11377
CS_UREF,11377
IPB_ECRH,11377
IPB_GAS,11377
IP_DI,11377
IP_EXP,11377
IP_REF,11377
I_CS,11377
LHCD,11377
NE_CTRL,11377
NE_CTRP,11377
NE_DU,11377
NE_ERR,11377
NE_EXP,11377
NE_REF,11377
NE_SUMDU,11377
RP,11377
R_DI,11377
R_EXP,11377
R_REF,11377
TF_DI,11377
TF_DU,11377
TF_DURZIP,11377
TF_EXP,11377
TF_FLAG,11377
TF_FULLP,11377
TF_IN,11377
TF_IP,11377
TF_IREF,11377
TF_PBLOCK,11377
TF_POUT,11377
TF_SUMDU,11377
TF_UOUT,11377
TF_UREF,11377
ZP,11377
Z_DI,11377
Z_EXP,11377
Z_REF,11377
CSCIRCLEN,11273
CSCIRCLEP,11273
CSFULLN,11273
CSFULLP,11273
CSNBLOCK,11273
CSNUK,11273
CSPARTN,11273
CSPARTP,11273
CSPBLOCK,11273
CSPUK,11273
TFFULLP,11272
TFPBLOCK,11272
TFPUK,11272
ICS,10834
ICS_H,10799
ITF_H,10799
TS_EN,10556
VS_BLOCK,8788
VS_DI,8788
VS_DU,8788
VS_EXP,8788
VS_IREF,8788
VS_SUMDU,8788
VS_UK,8788
VS_UOUT,8788
VS_UREF,8788
EUV_LONG,8481
CCS_QA,8262
CCS_Z,8262
PIV,7055
EUVL_TIME,6769
EUVL_TRIGGER,6769
VUV_TIME,6766
VUV_TRIGGER,6766
V,6610
AXUVPTOTAL,6198
IPB_NBI,5282
VS_ICS,5282
VS_IEXP,5282
VS_IP,5282
Z_DI_VS,5282
Z_DU_VS,5282
Z_EXP_VS,5282
Z_REF_VS,5282
CS_ACF,5274
CS_DCF,5274
TF_ACF,5272
TF_DCF,5272
TF_DCRC_,5227
FOCS_TEST,5180
DIAFLUX,4990
WTOT,4984
EUV_SHORT,4704
TF_PROTECT,4664
NBI_LAUNCH,4660
FEC,4579
FIP,4579
EUVS_TIME,4357
EUVS_TRIGGER,4357
CS_HEAT,4349
MAG_HART,4349
EC,4090
VLOOP_H,4083
TF_DCT_POUT,3469
TF_SET_ANG,3469
R_AI,3454
Z_AI,3454
ECRH_CCS_TIG,3451
ECRH_IPBUILD,3451
MSRP,3082
ZHUBO,2941
ICRF_TW_V,2773
INTENSITY,2430
TIERR,2430
ZV_DU,2248
ZV_EXP,2248
ZV_REF,2248
ZV_DI,2247
EFIT_BETAP,1898
EFIT_DELTAL,1898
EFIT_DELTAU,1898
EFIT_KAPPA,1898
EFIT_Q,1898
EFIT_RGEO,1898
EFIT_RMAG,1898
EFIT_RMAX,1898
EFIT_RMIN,1898
EFIT_WDIA,1898
EFIT_A,1839
FS_IGCCS,1769
FS_IGCTF,1769
FS_IGC_PROT,1769
FS_ITF_PROT,1769
EFIT_ZGEO,1568
EFIT_ZMAG,1568
NB,818
UPS,444
SUMDUPS,407
SUMDUPW,370
UPW,370
RMAX_AI,279
RMIN_AI,279
XP_DOWN_AI,279
XP_UP_AI,279
I_PS,226
BLOCKPS,222
CCG,222
DIPS,222
DUPS,222
YPS,222
CCDS,201
CCJS,201
CCKS,201
IPW,200
BLOCKPW,185
DIPW,185
DUPW,185
I_PW,185
YPW,185
MGEV,74
PV,74
SUMDUPH,74
SUMDUPV,74
VPW,45
BDO,37
BI,37
BLOCKECRHA,37
BLOCKECRHB,37
BLOCKGAS,37
BLOCKHE,37
BLOCKICRF,37
BLOCKL,37
BLOCKTS,37
BO,37
BU,37
BUO,37
CCDW,37
CCJW,37
CCKW,37
CCUE,37
CCUF,37
CCUG,37
CCUN,37
DIGAS,37
DITS,37
DPH,37
DPV,37
DUECRHA,37
DUECRHB,37
DUGAS,37
DUPH,37
DUPV,37
DUTS,37
ECRHCVA,37
ECRHCVB,37
FDI,37
FDO,37
FUI,37
FUO,37
IPBICRF,37
IPBITFBE,37
IPBROKEN,37
IPBUILD,37
IPS_,37
ITFBROKEN,37
ITFBUILD,37
ITS,37
ITSREF,37
NE,37
NEA,37
NEB,37
NEREF,37
PH,37
PHREF,37
PVPS,37
PVREF,37
RL,37
SUMDUECRHA,37
SUMDUECRHB,37
SUMDUGAS,37
SUMDUIP,37
SUMDUPHS,37
SUMDUPHW,37
SUMDUPVS,37
SUMDUPVW,37
SUMDUTS,37
SUMDUTSI,37
UECRHAOUT,37
UECRHAREF,37
UECRHBOUT,37
UECRHBREF,37
UTSOUT,37
UTSREF,37
VIP,37
WNE,37
YECRHA,37
YECRHB,37
YNE,37
YTS,37
BD,36
VA_TF,12
V_TF,9
UK_PS,5
UK_PW,5
UK_TF,4
U_PS,4
IP_CAL,2
MG_DISEXC,1
ASD,1
TEST_,1
