Channel Type,Count
PS,2978112
MP,2917637
PF,2161156
ECRH,1646338
TCN,1260208
Mirnov,1118180
AXUV,1091968
DIV,1027170
TS,1014098
G,706683
HXR,706406
TF,609379
FLUX,542506
HA,512545
CS,407728
SXR,386376
TEST,376530
PF_TEST,365536
TRIGP,365472
ECE,365216
EP,365216
LD,341127
IS,319480
ST,273840
DP,264256
SDDINTEN,251020
SDDTE,251020
EUV,228260
VUV,228200
VB,227514
IPF,205820
BOLO,182592
COIL,182592
PCR,182544
I_PF,159278
IPS,154942
VLIM,136920
TF_T_CPL,136920
TF_T_CPU,136920
TF_T_ESSU,136920
TF_T_LSSL,136920
TF_T_LSSU,136920
TF_T_USSL,136920
TF_T_USSU,136920
TF_T_ZCL,136920
M,131832
VIS,125510
TF_T_ESSL,125510
TI,116530
DIA,114130
HE,114130
CCD,114103
CCI,114103
CCJ,114103
CCK,114103
CCU,114103
STR,114100
TSA,114100
VT,114100
IMP,114090
CCS,113770
GAS_OUT,86576
TEMP,79870
IGC,79126
IP,78652
CCE,68484
MCV,68460
SSI_NE,68460
HCN_NE,68250
I_TF,67350
B,66254
CSG,63288
PFG,63288
TFG,63264
FTF,59527
VS_IPF,58102
HAS,57065
PW,57050
HALO,55216
BETAP,50642
LC,45696
ICRF_PIN,45640
ICRF_POUT,45640
IPOUT,45640
ITF_,45640
PHIDIA,45640
WDIA,45640
TF_T_CSC,45640
F,41570
GAS_PRES,39520
RF,37504
CIII_IM_,34239
GAS_CTRL,34239
HEII_IM_,34239
OII_IM_,34230
H,34230
TF_T_LWA,34230
TF_T_LWB,34230
LOOPV,33554
MN,27640
MPT,23880
ITF,22857
HA_MID_,22826
VPS,22822
ICRF,22820
ICRF_S_GI,22820
ICRF_S_GR,22820
ICRF_S_I,22820
ICRF_S_PHI,22820
ICRF_S_PIN,22820
ICRF_S_PL,22820
ICRF_S_POUT,22820
ICRF_S_R,22820
ICRF_S_SWR,22820
ICRF_S_U,22820
ICRF_S_X,22820
MWI_NE,22820
MWP,22820
OMA,22820
RAW_MWI,22820
TFTOTAL,22820
UTF,22820
VPF,22820
TF_T_CPLW,22820
CCL,22791
CCV,22791
CCW,22791
FP,21822
ILIMIT,21668
VLOOP,21598
FS_ITF,21228
VS_B,21128
MGDSUMU,18752
MGDV,18752
MGSETV,18752
MGSETW,18752
MGV,18752
RFA,18752
UK,18752
MG,18444
FS_IGCPF,17690
ICRF_SW_V,17624
MPN,11940
A_V_,11424
B_V_,11424
C_V_,11424
LCZ_A,11424
LCZ_U,11424
LC_FES,11424
MG_ELS,11424
MZ_A_A,11424
MZ_B_A,11424
MZ_C_A,11424
CS_NTG,11423
CS_PTG,11423
CS_T_I,11423
CS_T_V,11423
TF_TG,11421
TF_T_I,11421
TF_T_V,11421
CCDH,11414
CCDN,11414
CCDP,11414
CCDT,11414
CCDV,11414
CCIP,11414
CCIT,11414
CCJH,11414
CCJN,11414
CCJP,11414
CCJT,11414
CCJV,11414
CCKH,11414
CCKN,11414
CCKP,11414
CCKT,11414
CCKV,11414
CCNE,11414
CCPH,11414
CCPV,11414
CCUT,11414
BII,11413
BIII,11413
BR,11413
BV,11413
CCS_ELONG,11413
CCS_LCFS,11413
CCS_MAJ,11413
CCS_MIN,11413
CCS_TRI,11413
CIII,11413
HEI,11413
HEII,11413
ITFPS,11410
ITF_PLC,11410
LHCD_IK,11410
LHCD_UK,11410
MAG_I,11410
MAG_V,11410
OII,11410
PIN_LHCD_,11410
PNBI,11410
POUT_LHCD_,11410
STRP,11410
TS_ENERGY,11410
TS_NE,11410
TS_NEPRO,11410
TS_NE_PRO,11410
TS_TE,11410
TS_TE_PRO,11410
VTF,11410
VTFPS,11410
XCS,11410
HE_TRI,11410
TF_TRI,11410
TF_T_LEADSN,11410
TF_T_LEADSP,11410
TF_T_ZCU,11410
TS_T_LEADSN,11410
TS_T_LEADSP,11410
UKPS,11410
XCS_TG,11409
CCDA,11377
CCDB,11377
CCIA,11377
CCIB,11377
CCJA,11377
CCJB,11377
CCKA,11377
CCKB,11377
CCSA,11377
CCSI,11377
CCSN,11377
CCSR,11377
CCST,11377
CCSZ,11377
CCUA,11377
CCUB,11377
CS_CIRCLEN,11377
CS_CIRCLEP,11377
CS_DI,11377
CS_DIP,11377
